order_id,customer_id,product_id,quantity,order_date,discount,payment_method
5000,1335,2053,3,2024-01-08,0.2,Cash
5001,1389,2114,4,2024-07-25,0.2,Credit Card
5002,1487,2072,3,2024-02-10,0.2,Cash
5003,1012,2000,5,2024-02-12,0.2,Cod
5004,1239,2041,5,2023-05-05,0.05,Cash
5005,1319,2018,5,2023-12-03,0.0,Credit Card
5006,1445,2096,2,2023-12-07,0.1,Credit Card
5007,1482,2033,3,2024-07-16,0.2,Cash
5008,1146,2079,2,2023-06-27,0.05,Credit Card
5009,1203,2107,4,2024-10-12,0.1,Cash
5010,1079,2103,2,2023-06-19,0.05,Cod
5011,1378,2054,4,2023-02-08,0.1,Cash
5012,1042,2017,4,2023-03-10,0.2,Credit Card
5013,1457,2033,4,2023-08-24,0.2,Cash
5014,1088,2088,2,2024-07-13,0.2,Credit Card
5015,1147,2044,3,2024-01-16,0.1,Credit Card
5016,1094,2005,2,2023-02-26,0.1,Cod
5017,1451,2020,3,2023-10-04,0.05,Credit Card
5018,1427,2069,3,2023-04-09,0.0,Credit Card
5019,1150,2095,4,2024-06-10,0.2,Credit Card
5020,1001,2104,2,2023-11-21,0.05,Credit Card
5021,1375,2047,3,2024-04-05,0.05,Cash
5022,1021,2106,5,2023-06-28,0.05,Cash
5023,1370,2038,3,2024-07-27,0.2,Unknown
5024,1312,2030,5,2023-04-29,0.2,Cod
5025,1484,2105,2,2024-04-13,0.05,Credit Card
5026,1327,2009,2,2024-07-02,0.2,Credit Card
5027,1006,2029,2,2024-10-07,0.05,Credit Card
5028,1205,2115,3,2024-03-30,0.1,Credit Card
5029,1439,2017,1,2023-01-26,0.2,Cash
5030,1374,2059,3,2024-05-04,0.1,Credit Card
5031,1450,2087,3,2023-01-08,0.0,Credit Card
5032,1113,2115,4,2024-05-30,0.2,Credit Card
5033,1271,2072,4,2024-06-16,0.1,Credit Card
5034,1082,2094,3,2023-05-29,0.05,Unknown
5035,1178,2014,5,2024-05-02,0.2,Credit Card
5036,1209,2003,4,2023-01-25,0.2,Credit Card
5037,1499,2062,3,2024-10-16,0.2,Credit Card
5038,1463,2039,1,2024-07-08,0.0,Credit Card
5039,1327,2008,5,2024-02-29,0.0,Credit Card
5040,1123,2108,2,2023-10-20,0.05,Cash
5041,1480,2008,3,2023-07-04,0.1,Credit Card
5042,1112,2025,3,2024-07-07,0.1,Credit Card
5043,1011,2003,5,2024-03-06,0.0,Credit Card
5044,1125,2080,4,2024-08-26,0.2,Credit Card
5045,1052,2015,4,2023-11-13,0.1,Credit Card
5046,1330,2014,4,2024-02-02,0.1,Credit Card
5047,1388,2098,2,2023-11-20,0.0,Credit Card
5048,1282,2051,5,2024-07-18,0.05,Credit Card
5049,1139,2068,5,2024-08-18,0.1,Cash
5050,1400,2118,4,2024-06-29,0.0,Credit Card
5051,1389,2004,4,2023-03-17,0.2,Cod
5052,1096,2019,1,2024-12-09,0.0,Credit Card
5053,1004,2078,1,2024-04-30,0.2,Credit Card
5054,1056,2017,3,2023-03-29,0.05,Credit Card
